epoch,step,train_loss_epoch,train_loss_step,val_loss
38,3399,,0.6663413047790527,
38,3449,,0.6674284338951111,
38,3470,,,0.672934353351593
38,3470,0.6709144711494446,,
39,3499,,0.6718348860740662,
39,3549,,0.6692377328872681,
39,3559,,,0.6722615957260132
39,3559,0.6709327697753906,,
40,3599,,0.6713519096374512,
40,3648,,,0.6722699999809265
40,3648,0.6705986261367798,,
41,3649,,0.6658309698104858,
41,3699,,0.6745716333389282,
41,3737,,,0.672437846660614
41,3737,0.6709452867507935,,
42,3749,,0.669684648513794,
42,3799,,0.6671175956726074,
42,3826,,,0.6729848384857178
42,3826,0.6704848408699036,,
43,3849,,0.671656608581543,
43,3899,,0.674304723739624,
43,3915,,,0.6721417903900146
43,3915,0.6705003976821899,,
44,3949,,0.6714760065078735,
44,3999,,0.6744537353515625,
44,4004,,,0.6726680994033813
44,4004,0.6702430844306946,,
45,4049,,0.6677758097648621,
45,4093,,,0.6723790764808655
45,4093,0.6701964139938354,,
46,4099,,0.6734368801116943,
46,4149,,0.6672693490982056,
46,4182,,,0.6720708012580872
46,4182,0.6704279184341431,,
47,4199,,0.6697907447814941,
47,4249,,0.6723876595497131,
47,4271,,,0.6722709536552429
47,4271,0.6702516674995422,,
48,4299,,0.6778302192687988,
48,4349,,0.6676024198532104,
48,4360,,,0.6731542348861694
48,4360,0.6706621050834656,,
49,4399,,0.6717234253883362,
